business_id,name,address,city,state,monday,tuesday,wednesday,thursday,friday,saturday,sunday
FYWN1wneV18bWNgQjJ2GNg,"""Dental by Design""","""4855 E Warner Rd, Ste B9""",Ahwatukee,AZ,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,None,None
He-G7vWjzVUysIKrfNbPUQ,"""Stephen Szabo Salon""","""3101 Washington Rd""",McMurray,PA,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-16:0,8:0-16:0,None
KQPW8lFf1y5BT2MxiSZ3QA,"""Western Motor Vehicle""","""6025 N 27th Ave, Ste 1""",Phoenix,AZ,None,None,None,None,None,None,None
8DShNS-LuFqpEWIp0HxijA,"""Sports Authority""","""5000 Arizona Mills Cr, Ste 435""",Tempe,AZ,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-19:0
PfOCPjBrlQAnz__NXj9h_w,"""Brick House Tavern + Tap""","""581 Howe Ave""",Cuyahoga Falls,OH,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-0:0
o9eMRCWt5PkpLDE0gOPtcQ,"""Messina""","""Richterstr. 11""",Stuttgart,BW,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,None
kCoE3jvEtg6UVz5SOD3GVw,"""BDJ Realty""","""2620 Regatta Dr, Ste 102""",Las Vegas,NV,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,None,None
OD2hnuuTJI9uotcKycxg1A,"""Soccer Zone""","""7240 W Lake Mead Blvd, Ste 4""",Las Vegas,NV,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,10:0-18:0,11:0-16:0
EsMcGiZaQuG1OOvL9iUFug,"""Any Given Sundae""","""2612 Brandt School Rd""",Wexford,PA,None,None,None,None,None,None,None
TGWhGNusxyMaA4kQVBNeew,"""Detailing Gone Mobile""","""""",Henderson,NV,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0
XOSRcvtaKc_Q5H1SAzN20A,"""East Coast Coffee""","""737 West Pike St""",Houston,PA,None,None,None,None,None,None,None
Y0eMNa5C-YU1RQOZf9XvVA,"""CubeSmart Self Storage""","""2414 South Gilbert Road""",Chandler,AZ,9:30-18:0,9:30-18:0,9:30-18:0,9:30-18:0,9:30-18:0,8:30-17:30,11:0-15:0
xcgFnd-MwkZeO5G2HQ0gAQ,"""T & T Bakery and Cafe""","""35 Main Street N""",Markham,ON,None,None,None,None,None,None,None
NmZtoE3v8RdSJEczYbMT9g,"""Complete Dental Care""","""107 Whitaker Str""",Homestead,PA,8:0-17:0,8:0-17:0,8:0-14:0,8:0-17:0,8:0-17:0,None,None
fNMVV_ZX7CJSDWQGdOM8Nw,"""Showmars Government Center""","""600 E 4th St""",Charlotte,NC,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,None,None
l09JfMeQ6ynYs5MCJtrcmQ,"""Alize Catering""","""2459 Yonge St""",Toronto,ON,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
IQSlT5jGE6CCDhSG0zG3xg,"""T & Y Nail Spa""","""8411 W Thunderbird Rd, Unit 101""",Peoria,AZ,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-18:0,10:0-17:0
b2I2DXtZVnpUMCXp1JON7A,"""Meineke Car Care Center""","""2518 Ironwood Dr""",Sun Prairie,WI,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-16:0,None
